TOTAL_STALLS,MP_STALLS,CF_STALLS,POSTAL_CODE,OWNER,TYPE,LOCATION_CENTRE,NAME_OF_CENTRE,INC_CRC,FMEL_UPD_D,latitude,longitude
21,0,21,161001,HDB,HC,"Blk 1, Jalan Kukoh, S(161001)",Blk 1 Jalan Kukoh,0E1968BA938A752C,20141226094235,1.28823101665683,103.839934174505
171,120,51,530105,HDB,MHC,"Blk 105, Hougang Ave 1, S(530105)",Blk 105 Hougang Ave 1,AC5CC8C52F9ADF66,20141226094235,1.35384727630583,103.890094154565
133,77,56,90011,HDB,MHC,"Blk 11, Telok Blangah Crescent, S(090011)",Blk 11 Telok Blangah Crescent,FBBFA2E866379F04,20141226094235,1.27736689869568,103.81864170499
182,98,84,151115,HDB,MHC,"Blk 115, Bukit Merah View, S(151115)",Blk 115 Bukit Merah View,B3FA77063CC6711E,20141226094235,1.28550446469858,103.821823261698
161,82,79,380117,HDB,MHC,"Blk 117, Aljunied Ave 2, S(380117)",Blk 117 Aljunied Ave 2,9B1851D019E895ED,20141226094235,1.32078108005111,103.886773535561
148,108,40,310127,HDB,MHC,"Blk 127, Lorong 1 Toa Payoh, S(310127)",Blk 127 Toa Payoh Lorong 1,B5AC9A8443A74126,20141226094235,1.33809276057578,103.844731693846
144,99,45,521137,HDB,MHC,"Blk 137, Tampines Street 11, S(521137)",Blk 137 Tampines Street 11,7C6A96778816745E,20141226094235,1.34563954272448,103.944624549442
113,66,47,140159,HDB,MHC,"Blk 159, Mei Chin Road, S(140159)",Blk 159 Mei Chin Road,3048B1BCB10CD464,20141226094235,1.29323624984597,103.802903877753
194,130,64,460016,HDB,MHC,"Blk 16, Bedok South Road, S(460016)",Blk 16 Bedok South Road,24D6598AB71770C2,20141226094235,1.32050084219179,103.935473641112
57,0,57,150163,HDB,HC,"Blk 163, Bukit Merah Central, S(150163)",Blk 163 Bukit Merah Central,5FF93DE4F69B26CC,20141226094235,1.28369264625598,103.816992411859
230,158,72,270020,HDB,MHC,"Blk 20, Ghim Moh Road, S(270020)",Blk 20 Ghim Moh Road,0CE1C855CFE4AA62,20141226094235,1.31099663575987,103.78823031569
70,0,70,462208,HDB,HC,"Blk 208B, New Upper Changi Road, S(462208)",Blk 208B New Upper Changi Road,54A4CC2A46AD9E8D,20141226094235,1.3248181686642,103.930544297492
157,77,80,310210,HDB,MHC,"Blk 210, Lorong 8 Toa Payoh, S(310210)",Blk 210 Toa Payoh Lorong 8,6C760A548892CCF6,20141226094235,1.34025208214604,103.854333835648
196,114,82,460216,HDB,MHC,"Blk 216, Bedok North Street 1, S(460216)",Blk 216 Bedok North Street 1,DC56AC2D1E53425D,20141226094235,1.32706246133934,103.933221628318
120,59,61,310022,HDB,MHC,"Blk 22, Lorong 7 Toa Payoh, S(310022)",Blk 22 Toa Payoh Lorong 7,2230C8778EBD34E1,20141226094235,1.3353826058434,103.857003713555
80,0,80,120503,HDB,HC,"Blk 503, West Coast Drive, S(120503)",Blk 503 West Coast Drive,9DFC10CCEDC87810,20141226094235,1.31180309686362,103.759751412669
40,40,0,120502,HDB,MK,"Blk 502, West Coast Drive, S(120502)",Blk 502 West  Coast Drive,959458E2F80AB658,20141226094235,1.31189101702482,103.759041981812
32,0,32,469572,Government,HC,"1, Bedok Road, S(469572)",Bedok Food Centre,7D8F3B7F202D047F,20141226094235,1.32035409051798,103.955471877252
94,62,32,169982,Government,MHC,"38A, Beo Crescent, S(169982)",Beo Crescent Market,2D3BE40D977408C8,20141226094235,1.2888308508684,103.827353979133
66,0,66,208877,Government,HC,"166, Jalan Besar, S(208877)",Berseh Food Centre,476DF44091FB88C5,20141226094235,1.30733654545461,103.856853990878
80,58,22,160112,HDB,MHC,"Blk 112, Jalan Bukit Merah, S(160112)",Blk 112 Jalan Bukit Merah,E1F30EFBB9CC7BFD,20141226094235,1.28000182122612,103.82600359589
144,60,84,380017,HDB,MHC,"Blk 17, Upper Boon Keng Road, S(380017)",Blk 17 Upper Boon Keng Road,E89567B5F8B76E78,20141226094235,1.3150280641904,103.871620325751
77,59,18,120353,HDB,MHC,"Blk 353, Clementi Ave 2, S(120353)",Blk 353 Clementi Ave 2,B88DAE4C420D9F16,20141226094235,1.3143806546683,103.770772815907
110,68,42,402004,HDB,MHC,"Blk 4A, Eunos Crescent, S(402004)",Blk 4A Eunos Crescent,B47E8C9BEC943C3C,20141226094235,1.32032835825272,103.90426225727
104,52,52,81006,HDB,MHC,"Blk 6, Tanjong Pagar Plaza, S(081006)",Blk 6 Tanjong Pagar Plaza,134660B154B14F64,20141226094235,1.27661464955076,103.843167029877
106,0,106,370079,HDB,HC,"Blks 79/79A, Circuit Road, S(370079/371079)",Blks 79/79A Circuit Road,2B25B172D4BE2DFE,20141226094235,1.32644997412417,103.885043560223
129,42,87,500002,HDB,MHC,"Blk 2/3, Changi Village Road, S(500002/500003)",Blks 2 & 3 Changi Village Road,50F2B6ED7D29FD93,20141226094235,1.38915164742951,103.988245253984
179,95,84,588215,Government,MHC,"51, Upper Bukit Timah Road, S(588215)",Bukit Timah Market,C171EFF3BEA88C4E,20141226094235,1.3394524205512,103.776007311098
36,0,36,557269,Government,HC,"20, Kensington Park Road, S(557269)",Chomp Chomp Food Centre,34D57D400F3A4A1A,20141226094235,1.36423251514864,103.86652702067
30,0,30,424768,Government,HC,"271, Onan Road, S(424768)",Dunman Food Centre,6084E14B4764FC87,20141226094235,1.30941427412897,103.901825213705
63,0,63,468960,Government,HC,"1220, East Coast Parkway, S(468960)",East Coast Lagoon Food Village,0DC2992A52FFD0BD,20141226094235,1.30726107208842,103.934799740097
365,302,63,402001,Government,MHC,"1, Geylang Serai, S(402001)",Geylang Serai Market,510E95C63910B419,20141226094235,1.31672515889934,103.897977415723
