LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,LIC_NO,INC_CRC,FMEL_UPD_D,latitude,longitude
LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,273C,PUNGGOL PLACE,884,823273,NE12I65N000,3DE8AF6E76F9D3D4,2.01711E+13,1.402303006,103.9012624
SHENG SIONG SUPERMARKET PTE LTD,11,UPPER BOON KENG ROAD,901,380011,E73010V000,F361759A8261CD6E,2.01711E+13,1.314239371,103.870914
COLD STORAGE SINGAPORE (1983) PTE LTD,683,HOUGANG AVENUE 8,903,530683,NE11909C000,1DC69902E02077CE,2.01711E+13,1.373321217,103.8863655
COLD STORAGE SINGAPORE (1983) PTE LTD,631,BEDOK RESERVOIR ROAD,954,470631,S02210X000,4E2560154B58BA38,2.01711E+13,1.332958727,103.9149418
YES SUPERMARKET PTE LTD,201B,TAMPINES STREET 21,1091,522201,S02037J000,559A9A00D9FF8A55,2.01711E+13,1.353453156,103.9530099
SUZYAMEER FROZEN PTE. LTD.,201D,TAMPINES STREET 21,1161,524201,NE08357A000,1D32060098628881,2.01711E+13,1.352262313,103.9535865
G8 MART PTE. LTD.,421,ANG MO KIO AVENUE 10,1161,560421,CE13401C000,E83AE5A9842F67BC,2.01711E+13,1.365384216,103.852967
SHENG SIONG SUPERMARKET PTE LTD,233,ANG MO KIO AVENUE 3,1168,560233,CE04334P000,08D1E417EB224327,2.01711E+13,1.367549248,103.8367406
PRIME SUPERMARKET (1996) PTE LTD,106,HOUGANG AVENUE 1,1213,530106,S02059X000,3DA5C840D472C779,2.01711E+13,1.353702969,103.8906808
TAN KWEE ENG,327,YISHUN RING ROAD,1320,760327,B02041C000,FBB8A845FD8ADDC4,2.01711E+13,1.430071097,103.8423964
SHENG SIONG SUPERMARKET PTE LTD,122,ANG MO KIO AVENUE 3,1753,560122,B02015J000,DEC1603A9CDAA8B2,2.01711E+13,1.370188604,103.8434132
KAI SOON SUPERMARKET PTE. LTD.,780,YISHUN RING ROAD,3546,760780,W03223N000,97BC62A54004ABA9,2.01711E+13,1.42213865,103.8328827
COLD STORAGE SINGAPORE (1983) PTE LTD,41,SUNSET WAY,01A,597071,NW08141P000,5B36941E8637D978,2.01711E+13,1.323250401,103.7672601
THE FISHWIVES PTE. LTD.,501,BUKIT TIMAH ROAD,05B,259760,W02430L000,D1ABF0A07806E6A5,2.01711E+13,1.322573176,103.8142455
PRIME SUPERMARKET LIMITED,1,UPPER ALJUNIED LANE,1,360001,SE04040C000,348D2160A5640B99,2.01711E+13,1.334292414,103.8787462
ABEDIN TRADING PTE. LTD.,599,GEYLANG ROAD,1,389538,SE15464L000,527AE12639704BB5,2.01711E+13,1.314206549,103.8866998
COLD STORAGE SINGAPORE (1983) PTE LTD,5,STADIUM WALK,1,397693,SE07216L000,B63A248EF9D05582,2.01711E+13,1.302221781,103.8761527
COLD STORAGE SINGAPORE (1983) PTE LTD,238,THOMSON ROAD,28/29,307683,W02074L000,2CB5FB935C95714E,2.01711E+13,1.320211016,103.8436568
SONG FISH DEALER PTE LTD,17,PETIR ROAD,3,678278,NW17069X000,0F6D28052F81A605,2.01807E+13,1.378349714,103.7627412
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,676,WOODLANDS DRIVE 71,4,730676,NW18310J000,80FFC5863445363D,2.01807E+13,1.439916079,103.8007012
SHENG SIONG SUPERMARKET PTE LTD,1,JALAN BERSEH,22-Mar,209037,CE12096L000,0345D5333A79129B,2.0181E+13,1.307785101,103.857011
COLD STORAGE SINGAPORE (1983) PTE LTD,163,TANGLIN ROAD,3-Feb,247933,W02073N000,0F0E200CDB5F3678,2.0181E+13,1.304843445,103.8238528
BLUEWATER SEAFOOD PTE. LTD.,8D,DEMPSEY ROAD,1,249672,CE18D64L000,0A84C7734855DF0F,2.0181E+13,1.303445974,103.8093817
WONS BUTCHERY PTE. LTD.,1,ST. MARTIN'S DRIVE,1,257988,CE18G34E000,2A8AD7C49BB35393,2.0181E+13,1.305709706,103.8244638
LITTLE FARMS PTE. LTD.,3,LORONG LIPUT,4,277725,CE18I13C000,A887A4094F9E78C9,2.0181E+13,1.310643503,103.7952462
B & S MINI MART PTE. LTD.,310,GEYLANG ROAD,,389349,CE14Q85A000,4DFE6BEAE93CDC87,2.0181E+13,1.312451045,103.8796223
"CHEE MIN KUAN, SIMON",342,TANJONG KATONG ROAD,,437112,SE14965K000,7827732A1824519B,2.0181E+13,1.303733734,103.8964982
JSJ CORPORATION PTE. LTD.,31A,TANAH MERAH COAST ROAD,1,498720,SE17345J000,FDD2F7C14A0999CC,2.0181E+13,1.318452011,103.9858694
U STARS PTE. LTD.,625,ELIAS ROAD,302,510625,NE04092A000,5FF712EFFA4F8498,2.0181E+13,1.37860238,103.9419782
LOTTE MART PTE. LTD.,17,LORONG KILAT,2,598139,SW06806E000,84C132EF00F2782B,2.0181E+13,1.340826615,103.7742133
AJMAL TRADING GROUP PTE. LTD.,5,JALAN PAPAN,32,619396,SW16B52K000,93A2A674B553E67B,2.0181E+13,1.322108363,103.7274807
MURUGAN TRADERS PTE LTD,9,TRACTOR ROAD,,627970,SW18B79P000,F1EBC8EAFDAA9EF8,2.0181E+13,1.324919804,103.7050997
SHENG SIONG SUPERMARKET PTE LTD,440,BUKIT BATOK WEST AVENUE 8,10,650440,SW18A30L000,26B1BFE8EC40794E,2.0181E+13,1.355723076,103.7393031
SHENG SIONG SUPERMARKET PTE LTD,785E,WOODLANDS RISE,1,735785,NW18649C000,3C5B5E0FADC770CB,2.0181E+13,1.446804132,103.8054876
