LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,LIC_NO,INC_CRC,FMEL_UPD_D,latitude,longitude
AJMAL TRADING GROUP PTE. LTD.,2,WOODLANDS SECTOR 2,5,737723,NW15489B000,50016EF55AB80A12,2.0181E+13,1.461525548,103.809439
SHENG SIONG SUPERMARKET PTE LTD,675,YISHUN AVENUE 4,10,760675,NW18478E000,30AE6E739E4C2175,2.0181E+13,1.420155503,103.8435589
PHAN NEE TRADING LLP,2B,YISHUN AVENUE 7,1,768929,NW08337X000,8B068D0211232A26,2.0181E+13,1.444341295,103.8390302
HAO MART PTE. LTD.,658,PUNGGOL EAST,1,820658,NE18667L000,EE65F5A79DDD5BAE,2.0181E+13,1.399904204,103.9193528
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,681,PUNGGOL DRIVE,9,820681,NE18529J000,CFB223AB2921E70E,2.0181E+13,1.402878451,103.9131957
COLD STORAGE SINGAPORE (1983) PTE LTD,525,ANG MO KIO AVENUE 10,2401,560525,S02169J000,8C89C07BAD44F7D8,2.01807E+13,1.372645695,103.8538907
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,100,TRAS STREET,5-Jan,79027,CE18A78X000,A560CDE4DE209D00,2.01807E+13,1.274588224,103.8434707
COLD STORAGE SINGAPORE (1983) PTE LTD,291,JOO CHIAT ROAD,1,427543,SE11505P000,2340EFD9FB6110BC,2.01807E+13,1.309822274,103.9022325
SHENG SIONG SUPERMARKET PTE LTD,660A,EDGEDALE PLAINS,1,821660,NE17700J000,1AB52643F941FA3A,2.01807E+13,1.402621965,103.9165196
VIVA CORP SERVICES PTE. LTD.,23,KAKI BUKIT ROAD 3,2,415812,NE14190K000,F9CBEC22DB1FB858,2.01807E+13,1.337338624,103.9037351
SWISS BUTCHERY (2013) PRIVATE LIMITED,30,GREENWOOD AVENUE,,289230,CE07705A000,C869661C01CC7122,2.01711E+13,1.331761099,103.8065869
ROSWELL ENTERPRISE PTE LTD,34,GREENWOOD AVENUE,,289236,B03078N000,1AC0DC1360B91602,2.01711E+13,1.331832408,103.8064924
T S J INDUSTRIAL (S) PTE. LTD.,48,TOH GUAN ROAD EAST,130,608586,SW14484J000,3A9EFB753F3C9DE9,2.01711E+13,1.336830974,103.7543414
COLD STORAGE SINGAPORE (1983) PTE LTD,80,MARINE PARADE ROAD,27/62,449269,E02196C000,8F1010F83432B78B,2.01711E+13,1.301191315,103.9051136
COLD STORAGE SINGAPORE (1983) PTE LTD,12,KALLANG AVENUE,47,339511,CE14G73B000,D7FC2498E326BABA,2.01711E+13,1.30974242,103.8641017
COLD STORAGE SINGAPORE (1983) PTE LTD,11,TANJONG KATONG ROAD,36,437157,SE14875L000,5373FE2CE9E8656B,2.01711E+13,1.314692141,103.8944805
COLD STORAGE SINGAPORE (1983) PTE LTD,154,WEST COAST ROAD,,127371,SW08807K000,50EDCA33BB1577BC,2.01711E+13,1.303582691,103.7652845
COLD STORAGE SINGAPORE (1983) PTE LTD,1,VISTA EXCHANGE GREEN,,138617,SW12J97L000,A0FE827922FA7CEA,2.01711E+13,1.306848827,103.7882145
FOODIE MARKET PLACE PTE. LTD.,225,OUTRAM ROAD,,169038,CE10I13B000,F07E9FCD9F10FF17,2.01711E+13,1.283450773,103.8353713
MUSTAFA HOLDINGS PTE LTD,147,SYED ALWI ROAD,,207706,W03142N000,774A8FF4716A0468,2.01711E+13,1.309752747,103.8557016
SUPERNATURE PTE LTD,583,ORCHARD ROAD,,238884,CE13539N000,1CBCEAA88F882DA8,2.01711E+13,1.306195799,103.828509
HUBER'S PTE. LTD.,22,DEMPSEY ROAD,,249679,CE15F60K000,806CEE3EA9FC3627,2.01711E+13,1.306792407,103.8101858
MEAT THE BUTCHER PTE. LTD.,615,BUKIT TIMAH ROAD,,269716,C00033N000,ED02CBDEA21A897A,2.01711E+13,1.32437351,103.8093579
YEO KENG GUAN,5,RIDGEWOOD CLOSE,,276696,C02052N000,12BAB587D1D0035D,2.01711E+13,1.316618983,103.7789473
COLD STORAGE SINGAPORE (1983) PTE LTD,293,HOLLAND ROAD,,278628,C02025V000,E3AE1F03B1EBFB54,2.01711E+13,1.317561968,103.7858406
COLD STORAGE SINGAPORE (1983) PTE LTD,20,GREENWOOD AVENUE,,289215,CE09685B000,E1A69FE0E5A1E4B6,2.01711E+13,1.331491472,103.8068093
COLD STORAGE SINGAPORE (1983) PTE LTD,291,YISHUN STREET 22,389/3,760291,NW04015N000,8914CCFB5EC74BBA,2.01807E+13,1.435760801,103.8367239
CHD @ SOON LEE PTE. LTD.,51,SOON LEE ROAD,51A,628088,SW08A55C000,BE1B6F516F25A541,2.01807E+13,1.332122901,103.6990703
SHENG SIONG SUPERMARKET PTE LTD,3,YUAN CHING ROAD,,618642,C02050X000,E6AE4186735FA316,2.01807E+13,1.325468084,103.7252215
MD SYDUR RAHMAN,13,TUAS SOUTH STREET 5,1,637555,SW08047V000,B4422DB91B36391B,2.01807E+13,1.295013686,103.6267293
7SEVEN PTE. LTD.,51,NORTH COAST AVENUE,3,756992,NW14561E000,12414EE8F62DE271,2.01802E+13,1.456059726,103.7864369
COLD STORAGE SINGAPORE (1983) PTE LTD,1,FUSIONOPOLIS WAY,3,138632,SW17E56V000,9E0F71EB5EF428DE,2.01802E+13,1.299294067,103.7874041
SHENG SIONG SUPERMARKET PTE LTD,105,CANBERRA STREET,5,750105,NW18021V000,3F32EA93C85A7792,2.01802E+13,1.448864021,103.8323929
U STARS PTE. LTD.,691,WOODLANDS DRIVE 73,6,730691,NW17990N000,556F179A4065EAA6,2.01802E+13,1.440629922,103.8061981
SHENG SIONG SUPERMARKET PTE LTD,338,ANCHORVALE CRESCENT,11,540338,CE17Q33A000,282C68222EDC4F50,2.01802E+13,1.399228566,103.8896539
SHENG SIONG SUPERMARKET PTE LTD,417,FERNVALE LINK,11,790417,CE17Q32B000,DB116D0680A58A14,2.01802E+13,1.391587041,103.8798725
BHANDARI INTERNATIONAL PTE. LTD.,280,WOODLANDS INDUSTRIAL PARK E5 (PART OF),47,757322,NW17277E000,754CC3104AD59F36,2.01802E+13,1.451325053,103.7910952
SHENG SIONG SUPERMARKET PTE LTD,4,WOODLANDS STREET 12,61,738623,NW17734V000,D150643A0053994F,2.01802E+13,1.433512534,103.7797469
WAN SIEW YOONG,4,SAGO LANE,103,50004,W02099P000,1559F07415BB5C46,2.01802E+13,1.281800625,103.8429082
HAO MART PTE. LTD.,17,JALAN TENTERAM,128,321017,CE17M26A000,B981FFC6E81C1DDE,2.01802E+13,1.328211695,103.8598126
MCP FAIRMART PTE LTD,BLK 371,BUKIT BATOK STREET 31,324,650371,J92067N000,3FE8C9104F3EC555,2.01802E+13,1.359259407,103.7506946
HAO MART PTE. LTD.,146,JALAN BUKIT MERAH,1074,160146,CE17M36X000,EF320255C834747A,2.01802E+13,1.277848769,103.8308115
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,181,ORCHARD ROAD,3-Jan,238896,CE17L45A000,5DFD558C714597C1,2.01802E+13,1.300838916,103.8394347
COLD STORAGE SINGAPORE (1983) PTE LTD,60,PAYA LEBAR ROAD,5-Jan,409051,SE14A83A000,74BC8EE7FCF50851,2.01802E+13,1.318675759,103.8925506
COLD STORAGE SINGAPORE (1983) PTE LTD,370,ALEXANDRA ROAD,7-Mar,159953,CE07569B000,28E3628D372CD284,2.01802E+13,1.288614691,103.80501
COLD STORAGE SINGAPORE (1983) PTE LTD,930,YISHUN AVENUE 2,7-Jun,769098,NW08314K000,CABE56043689DB83,2.01802E+13,1.429698482,103.8357765
COLD STORAGE SINGAPORE (1983) PTE LTD,205,HOUGANG STREET 21,133,530205,S02024X000,94714536A765270E,2.01711E+13,1.359496638,103.8850799
SHENG SIONG SUPERMARKET PTE LTD,720,CLEMENTI WEST STREET 2,144,120720,SW05051J000,762A0F132FD34AA8,2.01711E+13,1.302464092,103.763751
PRIME SUPERMARKET LIMITED,803,KING GEORGE'S AVENUE,154,200803,E02042P000,CEECC163A7FA68F8,2.01711E+13,1.308365268,103.8609128
PRIME SUPERMARKET LIMITED,823,TAMPINES STREET 81,160,520823,S02040X000,10B92B6613DF8B9A,2.01711E+13,1.348732841,103.9340102
COLD STORAGE SINGAPORE (1983) PTE LTD,829,TAMPINES STREET 81,284/8,520829,S02038E000,91161828AF70D176,2.01711E+13,1.349224188,103.9349125
COLD STORAGE SINGAPORE (1983) PTE LTD,1,WOODLANDS SQUARE,31/32,738099,NW11384E000,2B67CDF8281E5570,2.01711E+13,1.436007838,103.7856887
COLD STORAGE SINGAPORE (1983) PTE LTD,548,WOODLANDS DRIVE 44,37/38,730548,B02035A000,60AC85121B68CA94,2.01711E+13,1.430840066,103.7934163
LIN POH LING,212,LORONG 8 TOA PAYOH,43/45,310212,SE06616X000,76E66AB46212193A,2.01711E+13,1.340642933,103.8543345
COLD STORAGE SINGAPORE (1983) PTE LTD,23,SERANGOON CENTRAL,44/45,556083,SE10579K000,9C08ADA027E53A95,2.01711E+13,1.350675514,103.8718616
COLD STORAGE SINGAPORE (1983) PTE LTD,230,VICTORIA STREET,16,188024,W02075K000,DF55DA57EF4B2A65,2.01711E+13,1.300142483,103.855787
NAWAS GLOBAL PTE. LTD.,3,TUAS SOUTH STREET 12,16,636947,SW16224E000,6F98C1177D0D74D7,2.01711E+13,1.271642263,103.6335123
SADIA MINIMART PTE LTD,11,MANDAI ESTATE,16,729908,NW15751L000,750AE5291894E1D8,2.01711E+13,1.408529966,103.7594062
MEIDI-YA SINGAPORE CO (PTE) LTD,177,RIVER VALLEY ROAD,17,179030,W02094C000,444173284C175C3F,2.01711E+13,1.291514786,103.8445863
IROHA INTERNATIONAL PTE. LTD.,68,ORCHARD ROAD,17,238839,CE16I13V000,79227FDE25FAC522,2.01711E+13,1.300747562,103.8450476
COLD STORAGE SINGAPORE (1983) PTE LTD,81,CLEMENCEAU AVENUE,18,239917,W02096A000,EA11CC1357BF0A8E,2.01711E+13,1.292259589,103.842561
LITTLE FARMS PTE. LTD.,491,RIVER VALLEY ROAD,20,248371,CE05380X000,ABBD171C72E40590,2.01711E+13,1.293017861,103.8269408
SHENG SIONG SUPERMARKET PTE LTD,61,TEBAN GARDENS ROAD,21,600061,C02080E000,1CABEB87703EAA76,2.01711E+13,1.322136363,103.7382928
PHAN NEE INVESTMENTS (S) PTE LTD,500,OLD CHOA CHU KANG ROAD,21,698924,SW16E98J000,748227E4D6EA7F36,2.01711E+13,1.377610839,103.7184038
COLD STORAGE SINGAPORE (1983) PTE LTD,430,UPPER CHANGI ROAD,47,487048,SE14377P000,4FA16B3D7A26B199,2.01711E+13,1.331775817,103.9462012
RAW MARKET PTE. LTD.,11,PASIR RIS LINK,48,518180,NE15760A000,24BE17B4638FC989,2.01711E+13,1.375588308,103.9608397
THE BUTCHER (SINGAPORE) PTE. LTD.,44,JALAN MERAH SAGA,50,278116,B03074A000,BD1045305A91116B,2.01711E+13,1.311921956,103.796844
HAO MART PTE. LTD.,239,YISHUN RING ROAD,1150,760239,B85098V000,3280E632A64A7C13,2.01807E+13,1.433595142,103.8396854
SEOUL BUTCHERY PTE. LTD.,13,YUK TONG AVENUE,,596318,SW18715E000,543410C59C75B3F4,2.01807E+13,1.342074963,103.7746328
V SURESH KUMAR,51,ADMIRALTY ROAD WEST - LODGE 1,,757443,NW12H40C000,A943479A145BB3F9,2.01807E+13,1.459828174,103.8200734
COLD STORAGE SINGAPORE (1983) PTE LTD,200,TURF CLUB ROAD,,287994,W02140C000,F5D07D3E3FBEC23E,2.01807E+13,1.338994622,103.7931338
HAO MART PTE. LTD.,448/450,GEYLANG ROAD,,389407,SE18184V000,E55DB2F74B8E0811,2.01807E+13,1.313175097,103.8836467
COLD STORAGE SINGAPORE (1983) PTE LTD,290,ORCHARD ROAD,14/15,238859,W02070V000,8DB4EB06E8BA7AD1,2.01711E+13,1.303723224,103.8352403
COLD STORAGE SINGAPORE (1983) PTE LTD,5,STRAITS VIEW,15/16,18935,CE17J36N000,991B4FCD2D19C3BB,2.01711E+13,1.27737236,103.8528448
COLD STORAGE SINGAPORE (1983) PTE LTD,68,ORCHARD ROAD,15/16,238839,W02088A000,79227FDEDF316E6A,2.01711E+13,1.300747562,103.8450476
COLD STORAGE SINGAPORE (1983) PTE LTD,1,KIM SENG PROMENADE,18/19,237994,W02068J000,4E6DAE686794402B,2.01711E+13,1.293802361,103.8317579
POPULAR SUPERMARKET PTE LTD,12,TUAS SOUTH STREET 13,18/19,636937,SW16942C000,D3420F308AFB7FBE,2.01711E+13,1.270309784,103.6341639
SADIA SUPERMARKET & TRADING (S) PTE. LTD.,12,TUAS SOUTH STREET 13,20/21,636937,SW16901A000,D3420F303C9A8A34,2.01711E+13,1.270309784,103.6341639
COLD STORAGE SINGAPORE (1983) PTE LTD,31,OCEAN WAY,26/27,98375,SW12N25V000,645F098FE4381FAE,2.01711E+13,1.247758619,103.8419211
COLD STORAGE SINGAPORE (1983) PTE LTD,383,BUKIT TIMAH ROAD,09A,259727,CE10B87J000,1E3FB9185A1D6307,2.01711E+13,1.319436175,103.8273459
COLD STORAGE SINGAPORE (1983) PTE LTD,524A,JELAPANG ROAD,13/18,671524,B02011P000,B0E158DA328C5436,2.01711E+13,1.385295562,103.7661705
COLD STORAGE SINGAPORE (1983) PTE LTD,512,BISHAN STREET 13,524,570512,CE09512V000,EF649DA0A8311BEA,2.01711E+13,1.349622344,103.8498817
NTUC FAIRPRICE CO-OPERATIVE LTD,192,LORONG 4 TOA PAYOH,672,310192,S02051L000,BA393865D9429B41,2.01901E+13,1.331661834,103.850483
NTUC FAIRPRICE CO-OPERATIVE LTD,475,TAMPINES STREET 44,145,520475,S02052K000,9018E3DE81D128D1,2.01901E+13,1.360323317,103.953126
NTUC FAIRPRICE CO-OPERATIVE LTD,107,TAMPINES STREET 11,353/9,521107,S02053J000,26741892D38D0A04,2.01901E+13,1.348371048,103.9481289
NTUC FAIRPRICE CO-OPERATIVE LTD,11,RIVERVALE CRESCENT,1,545082,S02054E000,67F93295E5A48722,2.01901E+13,1.392197774,103.9044716
NTUC FAIRPRICE CO-OPERATIVE LTD,118,RIVERVALE DRIVE,8,540118,S02055C000,79B5F430300EF1B5,2.01901E+13,1.384932017,103.901558
NTUC FAIRPRICE CO-OPERATIVE LTD,301,UPPER THOMSON ROAD,25,574408,S02056B000,1A6B6A0A96F41CFD,2.01901E+13,1.354669019,103.8309198
NTUC FAIRPRICE CO-OPERATIVE LTD,500,LORONG 6 TOA PAYOH,,310500,S02103A000,A5C9705C273748FD,2.01901E+13,1.332965494,103.8470504
NTUC FAIRPRICE CO-OPERATIVE LTD,110,LENGKONG TIGA,233/5,410110,S91085V000,700C0F2E35957CEA,2.01901E+13,1.323976884,103.9106897
NTUC FAIRPRICE CO-OPERATIVE LTD,279,BISHAN STREET 24,62/64,570279,S94081C000,BA6EA24E581F55D2,2.01901E+13,1.357222824,103.8437853
NTUC FAIRPRICE CO-OPERATIVE LTD,734,PASIR RIS STREET 72,37,510734,S98084K000,B2A48B8DDF299D93,2.01901E+13,1.379767536,103.9362076
NTUC FAIRPRICE CO-OPERATIVE LTD,2,JOO CHIAT ROAD,1139,420002,SE04012L000,A54DA254F5F99AFB,2.01901E+13,1.315539647,103.8987649
NTUC FAIRPRICE CO-OPERATIVE LTD,41,JALAN TIGA,5,390041,SE04130B000,93EC66CC6F37312F,2.01901E+13,1.307827372,103.8847639
NTUC FAIRPRICE CO-OPERATIVE LTD,65,AIRPORT BOULEVARD,10,819663,SE07559P000,B00E2FE630585015,2.01901E+13,1.354370738,103.9851696
NTUC FAIRPRICE CO-OPERATIVE LTD,5,EUNOS CRESCENT,2619,400005,SE09706N000,B7F681A9F638088F,2.01901E+13,1.321189796,103.9032663
NTUC FAIRPRICE CO-OPERATIVE LTD,23,SERANGOON CENTRAL,42,556083,SE10564B000,9C08ADA0824D1D7A,2.01901E+13,1.350675514,103.8718616
NTUC FAIRPRICE CO-OPERATIVE LTD,89,BEDOK NORTH STREET 4,77/79,460089,SE11071C000,47C2F906FB4A8869,2.01901E+13,1.33233468,103.9380513
NTUC FAIRPRICE CO-OPERATIVE LTD,612-620,GEYLANG ROAD,,389551,SE11577E000,D12B7744F9A097B3,2.01901E+13,1.314149968,103.8885449
NTUC FAIRPRICE CO-OPERATIVE LTD,5,CHANGI BUSINESS PARK CENTRAL 1,11-Aug,486038,SE11947P000,5B8B133D441E3A0A,2.01901E+13,1.334325154,103.9623893
NTUC FAIRPRICE CO-OPERATIVE LTD,8,CHANGI BUSINESS PARK AVENUE 1,,486018,SE12G19X000,173987F2420DE201,2.01901E+13,1.334919774,103.9636539
NTUC FAIRPRICE CO-OPERATIVE LTD,311,NEW UPPER CHANGI ROAD,60,467360,SE13135L000,BA23392A3AA4C5D9,2.01901E+13,1.324772079,103.9292677
NTUC FAIRPRICE CO-OPERATIVE LTD,57,NEW UPPER CHANGI ROAD,1334,461057,SE13S71X000,BF75AB36E33F82E0,2.01901E+13,1.32424555,103.9415687
NTUC FAIRPRICE CO-OPERATIVE LTD,60,AIRPORT BOULEVARD,29,819643,SE13U39E000,C0ECA33ED08ABFAE,2.01901E+13,1.355190944,103.988751
NTUC FAIRPRICE CO-OPERATIVE LTD,30,EAST COAST ROAD,9-Jun,428751,SE13U91V000,915404DD609FDB06,2.01901E+13,1.303850308,103.9028504
NTUC FAIRPRICE CO-OPERATIVE LTD,6,POTONG PASIR AVENUE 2,1,358361,SE14441L000,3D99EC241C2C20EF,2.01901E+13,1.332535908,103.8670368
NTUC FAIRPRICE CO-OPERATIVE LTD,1,STADIUM PLACE,29,397628,SE14467N000,9A762656DA66BDBE,2.01901E+13,1.303843278,103.8727507
NTUC FAIRPRICE CO-OPERATIVE LTD,3,SIMEI STREET 6,1,528833,SE14775X000,72D4FFF12CCE16D9,2.01901E+13,1.342706189,103.9530245
NTUC FAIRPRICE CO-OPERATIVE LTD,401,MACPHERSON ROAD,22/29,368125,SE16122V000,8636C035C8D92C78,2.01901E+13,1.33177055,103.8792945
NTUC FAIRPRICE CO-OPERATIVE LTD,18,TAI SENG STREET,13,539775,SE17082P000,97B865E2E4C0509D,2.01901E+13,1.336538677,103.8887627
NTUC FAIRPRICE CO-OPERATIVE LTD,10,EUNOS ROAD 8,101,408600,SE17481P000,B03AE698B7AEC878,2.01901E+13,1.318869412,103.8947314
JMD RETAIL PTE. LTD.,330,TANJONG KATONG ROAD,,437106,SE18544L000,E466075B010BA0B3,2.01901E+13,1.304164472,103.896327
NTUC FAIRPRICE CO-OPERATIVE LTD,108,DEPOT ROAD,1,100108,SW04158X000,53334C1CA869F4BD,2.01901E+13,1.281122279,103.8100313
COLD STORAGE SINGAPORE (1983) PTE LTD,1,HARBOURFRONT WALK,23,98585,SW06590A000,B44F385131EF94AD,2.01901E+13,1.26389582,103.8215893
NTUC FAIRPRICE CO-OPERATIVE LTD,28,DOVER CRESCENT,83,130028,SW07481A000,C2D30D6A61C98791,2.01901E+13,1.304763573,103.7816972
NTUC FAIRPRICE CO-OPERATIVE LTD,140,TECK WHYE LANE,351,680140,SW08821N000,1012E7DDBD421739,2.01901E+13,1.380030578,103.7531184
NTUC FAIRPRICE CO-OPERATIVE LTD,63,JURONG WEST CENTRAL 3,,648331,SW08A59X000,F84D5621D7F59F0F,2.01901E+13,1.339315039,103.705351
NTUC FAIRPRICE CO-OPERATIVE LTD,21,CHOA CHU KANG NORTH 6,7-Jan,689578,SW09032C000,D2D1D58DFEF0EDA7,2.01901E+13,1.3973019,103.7465581
NTUC FAIRPRICE CO-OPERATIVE LTD,61,CHOA CHU KANG DRIVE,1,689715,SW09285K000,FDB6807BE8EE6429,2.01901E+13,1.397128857,103.7473297
LAMIAH ENTERPRISE PTE. LTD.,5,TECH PARK CRESCENT,2,638127,SW09752V000,699B1F39DA240940,2.01901E+13,1.311467847,103.6303401
NTUC FAIRPRICE CO-OPERATIVE LTD,3155,COMMONWEALTH AVENUE WEST,,129588,SW10A16E000,644570985CDF911C,2.01901E+13,1.314853226,103.7642482
NTUC FAIRPRICE CO-OPERATIVE LTD,78A,TELOK BLANGAH STREET 32,1,101078,SW11452C000,B163FC1A7F3CF0FB,2.01901E+13,1.27338253,103.8089348
NTUC FAIRPRICE CO-OPERATIVE LTD,460,ALEXANDRA ROAD,,119963,SW11A26P000,33F754B4DFB6E088,2.01901E+13,1.27367658,103.801127
NTUC FAIRPRICE CO-OPERATIVE LTD,2,JURONG EAST CENTRAL 1,12,609731,SW12C98J000,D3E25B1CE998209D,2.01901E+13,1.333268182,103.7401767
NTUC FAIRPRICE CO-OPERATIVE LTD,352,CLEMENTI AVENUE 2,141,120352,SW12F58E000,562A45954C098582,2.01901E+13,1.314278609,103.7713506
NTUC FAIRPRICE CO-OPERATIVE LTD,498,JURONG WEST STREET 41,,640498,SW12H20A000,E2CA10A4AA0467CC,2.01901E+13,1.348333349,103.7243073
NTUC FAIRPRICE CO-OPERATIVE LTD,502,WEST COAST DRIVE,41,120502,SW12O05A000,4455CEE928BD0F3E,2.01901E+13,1.311885961,103.7590809
NTUC FAIRPRICE CO-OPERATIVE LTD,1,LOWER KENT RIDGE ROAD,16,119082,SW13245V000,BE502BB90FDBD6E2,2.01901E+13,1.292774327,103.784084
NTUC FAIRPRICE CO-OPERATIVE LTD,280,BUKIT BATOK EAST AVENUE 3,315,650280,SW13Q24X000,32C4A6B5B680E026,2.01901E+13,1.347701478,103.7570446
NTUC FAIRPRICE CO-OPERATIVE LTD,50,JURONG GATEWAY ROAD,21/22,608549,SW13T12J000,469AAB3D4F6721E5,2.01901E+13,1.333200217,103.7431704
NTUC FAIRPRICE CO-OPERATIVE LTD,2,BUKIT BATOK WEST AVENUE 7,10,659003,SW14633X000,4075A5C97BF74FD4,2.01901E+13,1.366506981,103.7468471
SHINVA AGRO FOODS PTE. LTD.,11,TECH PARK CRESCENT,3,638121,SW14824J000,D901156F86966DDE,2.01901E+13,1.311002403,103.6315723
